13:56:55.648881 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1597, length 64
13:56:55.731572 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1597, length 64
13:56:56.658223 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1598, length 64
13:56:56.811808 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1598, length 64
13:56:57.667706 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1599, length 64
13:56:57.939268 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1599, length 64
13:56:58.677487 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1600, length 64
13:56:58.907756 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1600, length 64
13:56:59.686995 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1601, length 64
13:56:59.786606 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1601, length 64
13:57:00.696416 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1602, length 64
13:57:00.738961 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1602, length 64
13:57:01.706718 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1603, length 64
13:57:01.857094 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1603, length 64
13:57:02.251791 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:02.716424 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1604, length 64
13:57:02.808966 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1604, length 64
13:57:03.725657 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1605, length 64
13:57:03.752074 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:03.809046 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1605, length 64
13:57:04.735403 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1606, length 64
13:57:04.784950 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1606, length 64
13:57:05.252208 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:05.745012 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1607, length 64
13:57:05.916001 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1607, length 64
13:57:06.210332 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
13:57:06.210800 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
13:57:06.411450 IP 192.168.15.129.39610 > 192.168.15.2.domain: 52926+ PTR? 130.15.168.192.in-addr.arpa. (45)
13:57:06.415896 IP 192.168.15.2.domain > 192.168.15.129.39610: 52926 NXDomain 0/0/0 (45)
13:57:06.416662 ARP, Request who-has 192.168.15.130 tell 192.168.15.129, length 46
13:57:06.416977 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
13:57:06.417246 IP 192.168.15.129.64613 > 192.168.15.130.1720: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:59:03.072149 IP 192.168.15.129.38709 > 192.168.15.130.8873: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072194 IP 192.168.15.129.38709 > 192.168.15.130.1163: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072201 IP 192.168.15.129.38709 > 192.168.15.130.1213: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072239 IP 192.168.15.129.38709 > 192.168.15.130.printer: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072292 IP 192.168.15.129.38709 > 192.168.15.130.3300: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072332 IP 192.168.15.129.38709 > 192.168.15.130.3128: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072338 IP 192.168.15.129.38709 > 192.168.15.130.1082: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072373 IP 192.168.15.129.38709 > 192.168.15.130.616: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072379 IP 192.168.15.129.38709 > 192.168.15.130.2200: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072419 IP 192.168.15.129.38709 > 192.168.15.130.10004: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072425 IP 192.168.15.129.38709 > 192.168.15.130.3986: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072463 IP 192.168.15.129.38709 > 192.168.15.130.9999: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072532 IP 192.168.15.129.38709 > 192.168.15.130.726: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072573 IP 192.168.15.129.38709 > 192.168.15.130.366: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072618 IP 192.168.15.129.38709 > 192.168.15.130.14442: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072657 IP 192.168.15.129.38709 > 192.168.15.130.1131: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072712 IP 192.168.15.129.38709 > 192.168.15.130.5033: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072752 IP 192.168.15.129.38709 > 192.168.15.130.1061: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072759 IP 192.168.15.129.38709 > 192.168.15.130.2809: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072797 IP 192.168.15.129.38709 > 192.168.15.130.2920: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072804 IP 192.168.15.129.38709 > 192.168.15.130.9091: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072841 IP 192.168.15.129.38709 > 192.168.15.130.24800: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072894 IP 192.168.15.129.38709 > 192.168.15.130.10003: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072933 IP 192.168.15.129.38709 > 192.168.15.130.3889: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.072989 IP 192.168.15.129.38709 > 192.168.15.130.49158: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073029 IP 192.168.15.129.38709 > 192.168.15.130.5678: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073035 IP 192.168.15.129.38709 > 192.168.15.130.981: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073073 IP 192.168.15.129.38709 > 192.168.15.130.5904: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073080 IP 192.168.15.129.38709 > 192.168.15.130.5850: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073116 IP 192.168.15.129.38709 > 192.168.15.130.1111: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073167 IP 192.168.15.129.38709 > 192.168.15.130.10626: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073218 IP 192.168.15.129.38709 > 192.168.15.130.63331: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073266 IP 192.168.15.129.38709 > 192.168.15.130.27353: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073307 IP 192.168.15.129.38709 > 192.168.15.130.5004: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073313 IP 192.168.15.129.38709 > 192.168.15.130.19315: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073348 IP 192.168.15.129.38709 > 192.168.15.130.2301: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073355 IP 192.168.15.129.38709 > 192.168.15.130.52673: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073393 IP 192.168.15.129.38709 > 192.168.15.130.2190: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073439 IP 192.168.15.129.38709 > 192.168.15.130.4: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073479 IP 192.168.15.129.38709 > 192.168.15.130.kerberos: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073563 IP 192.168.15.129.38709 > 192.168.15.130.524: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073652 IP 192.168.15.129.38709 > 192.168.15.130.32776: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073667 IP 192.168.15.129.38709 > 192.168.15.130.nut: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073720 IP 192.168.15.129.38709 > 192.168.15.130.33: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073782 IP 192.168.15.129.38709 > 192.168.15.130.617: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073825 IP 192.168.15.129.38709 > 192.168.15.130.1057: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073898 IP 192.168.15.129.38709 > 192.168.15.130.7800: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.073951 IP 192.168.15.129.38709 > 192.168.15.130.555: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.074687 IP 192.168.15.130.32768 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074700 IP 192.168.15.130.8181 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074761 IP 192.168.15.130.9110 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074768 IP 192.168.15.130.50002 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074804 IP 192.168.15.130.5431 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074811 IP 192.168.15.130.iscsi-target > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074847 IP 192.168.15.130.5998 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074854 IP 192.168.15.130.aol > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074890 IP 192.168.15.130.999 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074896 IP 192.168.15.130.1079 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074931 IP 192.168.15.130.55055 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074938 IP 192.168.15.130.daap > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074975 IP 192.168.15.130.svn > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.074983 IP 192.168.15.130.9009 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075020 IP 192.168.15.130.8873 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075027 IP 192.168.15.130.1163 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075066 IP 192.168.15.130.1213 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075072 IP 192.168.15.130.printer > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075108 IP 192.168.15.130.3300 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075115 IP 192.168.15.130.3128 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075149 IP 192.168.15.130.1082 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075156 IP 192.168.15.130.616 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075190 IP 192.168.15.130.2200 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075197 IP 192.168.15.130.10004 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075233 IP 192.168.15.130.3986 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.075239 IP 192.168.15.130.9999 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.076722 IP 192.168.15.130.726 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.076818 IP 192.168.15.130.366 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.076877 IP 192.168.15.130.14442 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.076885 IP 192.168.15.130.1131 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.076921 IP 192.168.15.130.5033 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.076928 IP 192.168.15.130.1061 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.076964 IP 192.168.15.130.2809 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.076971 IP 192.168.15.130.2920 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077014 IP 192.168.15.130.9091 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077020 IP 192.168.15.130.24800 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077057 IP 192.168.15.130.10003 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077064 IP 192.168.15.130.3889 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077106 IP 192.168.15.130.49158 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077113 IP 192.168.15.130.5678 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077150 IP 192.168.15.130.981 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077157 IP 192.168.15.130.5904 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077203 IP 192.168.15.130.5850 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077209 IP 192.168.15.130.1111 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077246 IP 192.168.15.130.10626 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077253 IP 192.168.15.130.63331 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077295 IP 192.168.15.130.27353 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077302 IP 192.168.15.130.5004 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077340 IP 192.168.15.130.19315 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077346 IP 192.168.15.130.2301 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077384 IP 192.168.15.130.52673 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077391 IP 192.168.15.130.2190 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077428 IP 192.168.15.130.4 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.077448 IP 192.168.15.129.38709 > 192.168.15.130.7627: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077501 IP 192.168.15.129.38709 > 192.168.15.130.3003: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077508 IP 192.168.15.129.38709 > 192.168.15.130.4998: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077569 IP 192.168.15.129.38709 > 192.168.15.130.exec: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077576 IP 192.168.15.129.38709 > 192.168.15.130.10010: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077614 IP 192.168.15.129.38709 > 192.168.15.130.18040: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077620 IP 192.168.15.129.38709 > 192.168.15.130.5280: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077659 IP 192.168.15.129.38709 > 192.168.15.130.customs: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077665 IP 192.168.15.129.38709 > 192.168.15.130.497: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077702 IP 192.168.15.129.38709 > 192.168.15.130.42510: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077709 IP 192.168.15.129.38709 > 192.168.15.130.1687: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077746 IP 192.168.15.129.38709 > 192.168.15.130.146: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077752 IP 192.168.15.129.38709 > 192.168.15.130.4279: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077787 IP 192.168.15.129.38709 > 192.168.15.130.3371: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077793 IP 192.168.15.129.38709 > 192.168.15.130.2100: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077831 IP 192.168.15.129.38709 > 192.168.15.130.ldap: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077844 IP 192.168.15.129.38709 > 192.168.15.130.5800: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077883 IP 192.168.15.129.38709 > 192.168.15.130.9090: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077890 IP 192.168.15.129.38709 > 192.168.15.130.8011: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077928 IP 192.168.15.129.38709 > 192.168.15.130.18988: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077935 IP 192.168.15.129.38709 > 192.168.15.130.9290: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077972 IP 192.168.15.129.38709 > 192.168.15.130.10215: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.077978 IP 192.168.15.129.38709 > 192.168.15.130.32771: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078015 IP 192.168.15.129.38709 > 192.168.15.130.705: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078021 IP 192.168.15.129.38709 > 192.168.15.130.902: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078055 IP 192.168.15.129.38709 > 192.168.15.130.1169: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078062 IP 192.168.15.129.38709 > 192.168.15.130.1234: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078100 IP 192.168.15.129.38709 > 192.168.15.130.8042: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078106 IP 192.168.15.129.38709 > 192.168.15.130.2701: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078145 IP 192.168.15.129.38709 > 192.168.15.130.1007: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078151 IP 192.168.15.129.38709 > 192.168.15.130.10002: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078188 IP 192.168.15.129.38709 > 192.168.15.130.1090: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078200 IP 192.168.15.129.38709 > 192.168.15.130.1137: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078237 IP 192.168.15.129.38709 > 192.168.15.130.1091: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078244 IP 192.168.15.129.38709 > 192.168.15.130.2126: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078282 IP 192.168.15.129.38709 > 192.168.15.130.4321: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078288 IP 192.168.15.129.38709 > 192.168.15.130.5679: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078324 IP 192.168.15.129.38709 > 192.168.15.130.259: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078330 IP 192.168.15.129.38709 > 192.168.15.130.1801: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078368 IP 192.168.15.129.38709 > 192.168.15.130.1053: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078421 IP 192.168.15.129.38709 > 192.168.15.130.21571: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078461 IP 192.168.15.129.38709 > 192.168.15.130.postgresql: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078468 IP 192.168.15.129.38709 > 192.168.15.130.8082: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078524 IP 192.168.15.129.38709 > 192.168.15.130.9415: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078574 IP 192.168.15.129.38709 > 192.168.15.130.912: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078614 IP 192.168.15.129.38709 > 192.168.15.130.10243: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078620 IP 192.168.15.129.38709 > 192.168.15.130.2557: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078659 IP 192.168.15.129.38709 > 192.168.15.130.1029: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078708 IP 192.168.15.129.38709 > 192.168.15.130.9929: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.078748 IP 192.168.15.129.38709 > 192.168.15.130.8200: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.080176 IP 192.168.15.130.kerberos > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080254 IP 192.168.15.130.524 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080262 IP 192.168.15.130.32776 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080300 IP 192.168.15.130.nut > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080306 IP 192.168.15.130.33 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080344 IP 192.168.15.130.617 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080350 IP 192.168.15.130.1057 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080385 IP 192.168.15.130.7800 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080391 IP 192.168.15.130.555 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080429 IP 192.168.15.130.7627 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080435 IP 192.168.15.130.3003 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080473 IP 192.168.15.130.4998 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080479 IP 192.168.15.130.exec > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080553 IP 192.168.15.130.10010 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080560 IP 192.168.15.130.18040 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080597 IP 192.168.15.130.5280 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080607 IP 192.168.15.130.customs > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080644 IP 192.168.15.130.497 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080651 IP 192.168.15.130.42510 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080687 IP 192.168.15.130.1687 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080694 IP 192.168.15.130.146 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080729 IP 192.168.15.130.4279 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080736 IP 192.168.15.130.3371 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080774 IP 192.168.15.130.2100 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080780 IP 192.168.15.130.ldap > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080816 IP 192.168.15.130.5800 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080823 IP 192.168.15.130.9090 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.080857 IP 192.168.15.130.8011 > 192.168.15.129.38709: Flags [R.], seq 0, ack 3931101718, win 0, length 0
13:59:03.081128 IP 192.168.15.129.38709 > 192.168.15.130.1148: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.081217 IP 192.168.15.129.38709 > 192.168.15.130.61900: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.081225 IP 192.168.15.129.38709 > 192.168.15.130.545: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.081270 IP 192.168.15.129.38709 > 192.168.15.130.1271: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.081277 IP 192.168.15.129.38709 > 192.168.15.130.9878: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.081313 IP 192.168.15.129.38709 > 192.168.15.130.44501: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
13:59:03.081319 IP 192.168.15.129.38709 > 192.168.15.130.3030: Flags [S], seq 3931101717, win 1024, options [mss 1460], length 0
