17:07:52.589779 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
17:07:52.590913 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
17:07:52.791662 IP 192.168.15.129.36294 > 192.168.15.2.domain: 6776+ PTR? 130.15.168.192.in-addr.arpa. (45)
17:07:52.804941 IP 192.168.15.2.domain > 192.168.15.129.36294: 6776 NXDomain 0/0/0 (45)
17:07:52.806720 IP 192.168.15.129.36884 > 192.168.15.130.loc-srv: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:56.419398 IP 192.168.15.130.8400 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.429598 IP 192.168.15.129.36885 > 192.168.15.130.proofd: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.430324 IP 192.168.15.130.proofd > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.440537 IP 192.168.15.129.36885 > 192.168.15.130.3011: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.440771 IP 67.195.204.151.https > 192.168.15.130.1060: Flags [S.], seq 1537965702, ack 4069706137, win 64240, options [mss 1460], length 0
17:07:56.441345 IP 192.168.15.130.3011 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.441466 IP 192.168.15.130.1060 > 67.195.204.151.https: Flags [.], ack 1, win 17520, length 0
17:07:56.451693 IP 192.168.15.129.36885 > 192.168.15.130.3003: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.462797 IP 192.168.15.129.36885 > 192.168.15.130.6668: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.474022 IP 192.168.15.129.36885 > 192.168.15.130.5298: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.484635 IP 192.168.15.129.36885 > 192.168.15.130.2040: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.519836 IP 192.168.15.129.36886 > 192.168.15.130.8400: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.530068 IP 192.168.15.129.36886 > 192.168.15.130.proofd: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.540592 IP 192.168.15.129.36886 > 192.168.15.130.3011: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.542219 IP 192.168.15.130.3003 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.542346 IP 192.168.15.130.6668 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.542576 IP 192.168.15.130.5298 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.542706 IP 192.168.15.130.2040 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.543124 IP 192.168.15.130.8400 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.543241 IP 192.168.15.130.proofd > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.543358 IP 192.168.15.130.3011 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.552159 IP 192.168.15.130.1060 > 67.195.204.151.https: Flags [P.], seq 1:79, ack 1, win 17520, length 78
17:07:56.552692 IP 67.195.204.151.https > 192.168.15.130.1060: Flags [.], ack 79, win 64240, length 0
17:07:56.553778 IP 192.168.15.129.36886 > 192.168.15.130.3003: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.554515 IP 192.168.15.130.3003 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.564306 IP 192.168.15.129.36886 > 192.168.15.130.6668: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.565051 IP 192.168.15.130.6668 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.575361 IP 192.168.15.129.36886 > 192.168.15.130.5298: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.576097 IP 192.168.15.130.5298 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.586366 IP 192.168.15.129.36886 > 192.168.15.130.2040: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.587097 IP 192.168.15.130.2040 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.591761 IP 67.195.204.151.https > 192.168.15.130.1060: Flags [FP.], seq 1, ack 79, win 64240, length 0
17:07:56.592494 IP 192.168.15.130.1060 > 67.195.204.151.https: Flags [.], ack 2, win 17520, length 0
17:07:56.593069 IP 192.168.15.130.1060 > 67.195.204.151.https: Flags [F.], seq 79, ack 2, win 17520, length 0
17:07:56.593489 IP 67.195.204.151.https > 192.168.15.130.1060: Flags [.], ack 80, win 64239, length 0
17:07:56.595809 IP 192.168.15.130.1061 > 67.195.204.151.https: Flags [S], seq 4069794996, win 16384, options [mss 1460,nop,nop,sackOK], length 0
17:07:56.620626 IP 192.168.15.129.36885 > 192.168.15.130.44442: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.621298 IP 192.168.15.130.44442 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.631331 IP 192.168.15.129.36885 > 192.168.15.130.50003: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.632161 IP 192.168.15.130.50003 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.639728 IP 67.195.204.151.https > 192.168.15.130.1061: Flags [S.], seq 1908302702, ack 4069794997, win 64240, options [mss 1460], length 0
17:07:56.640591 IP 192.168.15.130.1061 > 67.195.204.151.https: Flags [.], ack 1, win 17520, length 0
17:07:56.641521 IP 192.168.15.129.36885 > 192.168.15.130.1213: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.641660 IP 192.168.15.130.1061 > 67.195.204.151.https: Flags [P.], seq 1:46, ack 1, win 17520, length 45
17:07:56.642046 IP 192.168.15.130.1213 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.642174 IP 67.195.204.151.https > 192.168.15.130.1061: Flags [.], ack 46, win 64240, length 0
17:07:56.652555 IP 192.168.15.129.36885 > 192.168.15.130.5915: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.653293 IP 192.168.15.130.5915 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.663588 IP 192.168.15.129.36885 > 192.168.15.130.1060: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.664974 IP 192.168.15.130.1060 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.674606 IP 192.168.15.129.36885 > 192.168.15.130.19315: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.675346 IP 192.168.15.130.19315 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.684092 IP 67.195.204.151.https > 192.168.15.130.1061: Flags [FP.], seq 1, ack 46, win 64240, length 0
17:07:56.684870 IP 192.168.15.130.1061 > 67.195.204.151.https: Flags [.], ack 2, win 17520, length 0
17:07:56.685621 IP 192.168.15.130.1061 > 67.195.204.151.https: Flags [F.], seq 46, ack 2, win 17520, length 0
17:07:56.685745 IP 192.168.15.129.36885 > 192.168.15.130.3551: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.685940 IP 67.195.204.151.https > 192.168.15.130.1061: Flags [.], ack 47, win 64239, length 0
17:07:56.686410 IP 192.168.15.130.3551 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.721785 IP 192.168.15.129.36886 > 192.168.15.130.44442: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.726102 IP 192.168.15.130.44442 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.732470 IP 192.168.15.129.36886 > 192.168.15.130.50003: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.732853 IP 192.168.15.130.50003 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.742632 IP 192.168.15.129.36886 > 192.168.15.130.1213: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.743022 IP 192.168.15.130.1213 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.753708 IP 192.168.15.129.36886 > 192.168.15.130.5915: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.754102 IP 192.168.15.130.5915 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.764992 IP 192.168.15.129.36886 > 192.168.15.130.1060: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.766025 IP 192.168.15.130.1060 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.776059 IP 192.168.15.129.36886 > 192.168.15.130.19315: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.776846 IP 192.168.15.130.19315 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.787053 IP 192.168.15.129.36886 > 192.168.15.130.3551: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.787792 IP 192.168.15.130.3551 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.821798 IP 192.168.15.129.36885 > 192.168.15.130.2160: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.822141 IP 192.168.15.130.2160 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.832774 IP 192.168.15.129.36885 > 192.168.15.130.8222: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.833156 IP 192.168.15.130.8222 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.843810 IP 192.168.15.129.36885 > 192.168.15.130.3703: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.844176 IP 192.168.15.130.3703 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.854893 IP 192.168.15.129.36885 > 192.168.15.130.32781: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.855226 IP 192.168.15.130.32781 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.865890 IP 192.168.15.129.36885 > 192.168.15.130.55056: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.866212 IP 192.168.15.130.55056 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.876058 IP 192.168.15.129.36885 > 192.168.15.130.61532: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.876388 IP 192.168.15.130.61532 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.886998 IP 192.168.15.129.36885 > 192.168.15.130.1038: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:56.887326 IP 192.168.15.130.1038 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:56.922560 IP 192.168.15.129.36886 > 192.168.15.130.2160: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.922924 IP 192.168.15.130.2160 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.933703 IP 192.168.15.129.36886 > 192.168.15.130.8222: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.934103 IP 192.168.15.130.8222 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.944677 IP 192.168.15.129.36886 > 192.168.15.130.3703: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.945024 IP 192.168.15.130.3703 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.955745 IP 192.168.15.129.36886 > 192.168.15.130.32781: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.956106 IP 192.168.15.130.32781 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.966756 IP 192.168.15.129.36886 > 192.168.15.130.55056: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.967112 IP 192.168.15.130.55056 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.977780 IP 192.168.15.129.36886 > 192.168.15.130.61532: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.978141 IP 192.168.15.130.61532 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:56.988859 IP 192.168.15.129.36886 > 192.168.15.130.1038: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:56.989210 IP 192.168.15.130.1038 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.022935 IP 192.168.15.129.36885 > 192.168.15.130.7106: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.023290 IP 192.168.15.130.7106 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.034203 IP 192.168.15.129.36885 > 192.168.15.130.5431: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.034932 IP 192.168.15.130.5431 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.045205 IP 192.168.15.129.36885 > 192.168.15.130.6839: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.045934 IP 192.168.15.130.6839 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.056163 IP 192.168.15.129.36885 > 192.168.15.130.9050: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.056870 IP 192.168.15.130.9050 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.067247 IP 192.168.15.129.36885 > 192.168.15.130.1036: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.067976 IP 192.168.15.130.1036 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.078322 IP 192.168.15.129.36885 > 192.168.15.130.306: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.079064 IP 192.168.15.130.306 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.089298 IP 192.168.15.129.36885 > 192.168.15.130.5440: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.090036 IP 192.168.15.130.5440 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.123421 IP 192.168.15.129.36886 > 192.168.15.130.7106: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.124145 IP 192.168.15.130.7106 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.134424 IP 192.168.15.129.36886 > 192.168.15.130.5431: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.135182 IP 192.168.15.130.5431 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.145465 IP 192.168.15.129.36886 > 192.168.15.130.6839: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.146188 IP 192.168.15.130.6839 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.156394 IP 192.168.15.129.36886 > 192.168.15.130.9050: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.157134 IP 192.168.15.130.9050 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.167516 IP 192.168.15.129.36886 > 192.168.15.130.1036: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.168259 IP 192.168.15.130.1036 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.178547 IP 192.168.15.129.36886 > 192.168.15.130.306: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.179365 IP 192.168.15.130.306 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.189585 IP 192.168.15.129.36886 > 192.168.15.130.5440: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.190392 IP 192.168.15.130.5440 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.223845 IP 192.168.15.129.36885 > 192.168.15.130.5922: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.224587 IP 192.168.15.130.5922 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.235021 IP 192.168.15.129.36885 > 192.168.15.130.8022: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.235765 IP 192.168.15.130.8022 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.246058 IP 192.168.15.129.36885 > 192.168.15.130.33: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.246800 IP 192.168.15.130.33 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.257142 IP 192.168.15.129.36885 > 192.168.15.130.1311: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.257893 IP 192.168.15.130.1311 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.268067 IP 192.168.15.129.36885 > 192.168.15.130.16016: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.268806 IP 192.168.15.130.16016 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.279095 IP 192.168.15.129.36885 > 192.168.15.130.902: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.279824 IP 192.168.15.130.902 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.290193 IP 192.168.15.129.36885 > 192.168.15.130.340: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.290919 IP 192.168.15.130.340 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.324226 IP 192.168.15.129.36886 > 192.168.15.130.5922: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.325009 IP 192.168.15.130.5922 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.335410 IP 192.168.15.129.36886 > 192.168.15.130.8022: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.336121 IP 192.168.15.130.8022 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.346277 IP 192.168.15.129.36886 > 192.168.15.130.33: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.347043 IP 192.168.15.130.33 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.357313 IP 192.168.15.129.36886 > 192.168.15.130.1311: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.358043 IP 192.168.15.130.1311 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.368302 IP 192.168.15.129.36886 > 192.168.15.130.16016: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.369066 IP 192.168.15.130.16016 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.379417 IP 192.168.15.129.36886 > 192.168.15.130.902: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.380141 IP 192.168.15.130.902 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.390425 IP 192.168.15.129.36886 > 192.168.15.130.340: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.391157 IP 192.168.15.130.340 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.424573 IP 192.168.15.129.36885 > 192.168.15.130.1175: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.425291 IP 192.168.15.130.1175 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.435662 IP 192.168.15.129.36885 > 192.168.15.130.646: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.436327 IP 192.168.15.130.646 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.446559 IP 192.168.15.129.36885 > 192.168.15.130.x11: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.447190 IP 192.168.15.130.x11 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.457966 IP 192.168.15.129.36885 > 192.168.15.130.35500: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.458799 IP 192.168.15.130.35500 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.468533 IP 192.168.15.129.36885 > 192.168.15.130.bacula-fd: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.469174 IP 192.168.15.130.bacula-fd > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.479680 IP 192.168.15.129.36885 > 192.168.15.130.1186: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.480474 IP 192.168.15.130.1186 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.490578 IP 192.168.15.129.36885 > 192.168.15.130.1121: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.491247 IP 192.168.15.130.1121 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.525774 IP 192.168.15.129.36886 > 192.168.15.130.1175: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.526904 IP 192.168.15.130.1175 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.536800 IP 192.168.15.129.36886 > 192.168.15.130.646: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.537650 IP 192.168.15.130.646 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.547832 IP 192.168.15.129.36886 > 192.168.15.130.x11: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.548870 IP 192.168.15.130.x11 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.558951 IP 192.168.15.129.36886 > 192.168.15.130.35500: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.559848 IP 192.168.15.130.35500 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.569966 IP 192.168.15.129.36886 > 192.168.15.130.bacula-fd: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.570991 IP 192.168.15.130.bacula-fd > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.579995 IP 192.168.15.129.36886 > 192.168.15.130.1186: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.580702 IP 192.168.15.130.1186 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.590855 IP 192.168.15.129.36886 > 192.168.15.130.1121: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.592822 IP 192.168.15.130.1121 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.626011 IP 192.168.15.129.36885 > 192.168.15.130.chargen: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.627972 IP 192.168.15.130.chargen > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.636952 IP 192.168.15.129.36885 > 192.168.15.130.1112: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.637608 IP 192.168.15.130.1112 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.648013 IP 192.168.15.129.36885 > 192.168.15.130.32779: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.650367 IP 192.168.15.130.32779 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.658106 IP 192.168.15.129.36885 > 192.168.15.130.xmpp-client: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.658574 IP 192.168.15.130.xmpp-client > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.669248 IP 192.168.15.129.36885 > 192.168.15.130.omirr: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.670687 IP 192.168.15.130.omirr > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.680513 IP 192.168.15.129.36885 > 192.168.15.130.3052: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.681007 IP 192.168.15.130.3052 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.691517 IP 192.168.15.129.36885 > 192.168.15.130.2038: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:57.692956 IP 192.168.15.130.2038 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:57.726858 IP 192.168.15.129.36886 > 192.168.15.130.chargen: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.727464 IP 192.168.15.130.chargen > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.737706 IP 192.168.15.129.36886 > 192.168.15.130.1112: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.738154 IP 192.168.15.130.1112 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.749309 IP 192.168.15.129.36886 > 192.168.15.130.32779: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.750968 IP 192.168.15.130.32779 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.760173 IP 192.168.15.129.36886 > 192.168.15.130.xmpp-client: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.760624 IP 192.168.15.130.xmpp-client > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.770978 IP 192.168.15.129.36886 > 192.168.15.130.omirr: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.771671 IP 192.168.15.130.omirr > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
17:07:57.781823 IP 192.168.15.129.36886 > 192.168.15.130.3052: Flags [S], seq 2929881110, win 1024, options [mss 1460], length 0
17:07:57.782447 IP 192.168.15.130.3052 > 192.168.15.129.36886: Flags [R.], seq 0, ack 2929881111, win 0, length 0
